last_name,first_name,year,p_earned_run,
Wood, Hunter,2018,17,
Wood, Alex,2018,62,
Winkler, Dan,2018,23,
Wilson, Alex,2018,23,
Wacha, Michael,2018,30,
Venters, Jonny,2018,14,
Venditte, Pat,2018,4,
Venditte, Pat,2018,4,
Vasquez, Andrew,2018,3,
Swarzak, Anthony,2018,18,
Suarez, Ranger,2018,9,
Smith, Burch,2018,60,
Shreve, Chasen,2018,23,
Shaw, Bryan,2018,36,
Rucinski, Drew,2018,17,
Rodriguez, Jefry,2018,33,
Reid-Foley, Sean,2018,19,
Reed, Addison,2018,28,
Ramirez, Erasmo,2018,33,
Quintana, Jose,2018,78,
Pomeranz, Drew,2018,50,
Peacock, Brad,2018,25,
Pannone, Thomas,2018,20,
Olson, Tyler,2018,15,
Norris, Daniel,2018,28,
Nicasio, Juan,2018,28,
Neverauskas, Dovydas,2018,24,
Miller, Justin,2018,21,
May, Trevor,2018,9,
Mahle, Tyler,2018,62,
Liberatore, Adam,2018,4,
Lamb, John,2018,8,
Kelly, Joe,2018,32,
Kahnle, Tommy,2018,17,
Jurado, Ariel,2018,36,
Jennings, Dan,2018,23,
Jackson, Edwin,2018,34,
Infante, Gregory,2018,8,
Holmes, Clay,2018,20,
Holland, Greg,2018,24,
Hernandez, Elieser,2018,38,
Hendriks, Liam,2018,11,
Hembree, Heath,2018,28,
Haley, Justin,2018,4,
Guerrieri, Taylor,2018,5,
Goody, Nick,2018,9,
Gonzalez, Miguel,2018,17,
Gonzalez, Merandy,2018,14,
Gomez, Jeanmar,2018,13,
Glover, Koda,2018,6,
Givens, Mychal,2018,34,
Garcia, Jarlin,2018,36,
Freeman, Sam,2018,24,
Diekman, Jake,2018,28,
Fiers, Mike,2018,68,
Faria, Jake,2018,39,
Eflin, Zach,2018,62,
Dyson, Sam,2018,21,
Cedeno, Xavier,2018,9,
Colon, Bartolo,2018,94,
Cishek, Steve,2018,17,
Cobb, Alex,2018,83,
Cingrani, Tony,2018,12,
Cloyd, Tyler,2018,17,
Claudio, Alex,2018,34,
Chatwood, Tyler,2018,61,
Chargois, JT,2018,12,
Chapman, Aroldis,2018,14,
Castillo, Jose,2018,14,
Castillo, Diego,2018,20,
Buttrey, Ty,2018,6,
Burr, Ryan,2018,8,
Buehler, Walker,2018,40,
Britton, Zack,2018,14,
Brice, Austin,2018,24,
Brewer, Colten,2018,6,
Brebbia, John,2018,18,
Bracho, Silvino,2018,11,
Bleier, Richard,2018,7,
Betances, Dellin,2018,20,
Bell, Chad,2018,7,
Belisle, Matt,2018,30,
Baumann, Buddy,2018,10,
Bailey, Homer,2018,72,
Andriese, Matt,2018,46,
Anderson, Brett,2018,40,
Wright, Mike,2018,52,
Volstad, Chris,2018,33,
Velazquez, Hector,2018,30,
Vazquez, Felipe,2018,21,
Vargas, Jason,2018,59,
Trivino, Lou,2018,24,
Triggs, Andrew,2018,24,
Toussaint, Touki,2018,13,
Thornburg, Tyler,2018,15,
Stratton, Chris,2018,82,
Strasburg, Stephen,2018,54,
Stewart, Kohl,2018,15,
Stewart, Brock,2018,12,
Solis, Sammy,2018,28,
Snelten, D.J.,2018,5,
Smith, Will,2018,15,
Sherriff, Ryan,2018,4,
Saupold, Warwick,2018,17,
Santana, Ervin,2018,22,
Sanchez, Aaron,2018,57,
Sampson, Adrian,2018,11,
Sadzeck, Connor,2018,1,
Sabathia, CC,2018,62,
Ross, Tyson,2018,69,
Rosario, Randy,2018,19,
Rondon, Bruce,2018,28,
Romano, Sal,2018,86,
Robertson, David,2018,25,
Reininger, Zac,2018,18,
Poyner, Bobby,2018,8,
Pounders, Brooks,2018,13,
Phillips, Evan,2018,17,
Peters, Dillon,2018,22,
Perez, Cionel,2018,5,
Perdomo, Luis,2018,35,
Paredes, Edward,2018,5,
Newberry, Jake,2018,7,
Neris, Hector,2018,27,
Miley, Wade,2018,23,
Middleton, Keynan,2018,4,
Medlen, Kris,2018,7,
McHugh, Collin,2018,16,
McGee, Jake,2018,37,
McFarland, T.J.,2018,16,
Makita, Kazuhisa,2018,21,
Lynn, Lance,2018,83,
Lucas, Josh,2018,10,
Littell, Zack,2018,14,
Leiter Jr., Mark,2018,20,
LeBlanc, Wade,2018,67,
Knebel, Corey,2018,22,
Keuchel, Dallas,2018,85,
Junis, Jakob,2018,86,
Hu, Chih-Wei,2018,6,
Giles, Ken,2018,26,
Hellickson, Jeremy,2018,35,
Hatcher, Chris,2018,20,
Hancock, Justin,2018,2,
Guerrero, Tayron,2018,35,
Gregerson, Luke,2018,10,
Gott, Trevor,2018,12,
Gomez, Roberto,2018,8,
Godley, Zack,2018,94,
Gibson, Kyle,2018,79,
Garcia, Luis,2018,31,
Fry, Paul,2018,14,
Flynn, Brian,2018,34,
Farmer, Buck,2018,32,
Davis, Austin,2018,16,
Danish, Tyler,2018,5,
Cuevas, William,2018,14,
Coulombe, Danny,2018,12,
Chirinos, Yonny,2018,35,
Cecil, Brett,2018,25,
Castillo, Luis,2018,81,
Casilla, Santiago,2018,11,
Boyd, Matthew,2018,83,
Boxberger, Brad,2018,26,
Borucki, Ryan,2018,42,
Blach, Ty,2018,56,
Bieber, Shane,2018,58,
Beeks, Jalen,2018,31,
Barlow, Scott,2018,6,
Allard, Kolby,2018,11,
Alcantara, Sandy,2018,13,
Albers, Matt,2018,28,
Adam, Jason,2018,22,
Zastryzny, Rob,2018,3,
Wood, Blake,2018,3,
Wheeler, Zack,2018,67,
Wainwright, Adam,2018,20,
Tropeano, Nick,2018,40,
Treinen, Blake,2018,7,
Tomlin, Josh,2018,48,
Tillman, Chris,2018,31,
Teheran, Julio,2018,77,
Tazawa, Junichi,2018,22,
Stumpf, Daniel,2018,21,
Stephens, Jackson,2018,21,
Smith, Caleb,2018,36,
Shafer, Justin,2018,3,
Shackelford, Kevin,2018,7,
Senzatela, Antonio,2018,44,
Santos, Luis,2018,16,
Rzepczynski, Marc,2018,8,
Ryu, Hyun Jin,2018,18,
Rondon, Hector,2018,21,
Romo, Sergio,2018,31,
Ray, Robbie,2018,54,
Ramos, Edubray,2018,11,
Ramirez, Carlos,2018,3,
Price, David,2018,70,
Pazos, James,2018,16,
Paxton, James,2018,67,
Osuna, Roberto,2018,10,
O'Grady, Chris,2018,5,
Nuno, Vidal,2018,6,
Norwood, James,2018,5,
Musgrave, Harrison,2018,23,
Morton, Charlie,2018,58,
Morris, Akeel,2018,9,
Minor, Mike,2018,73,
Mikolas, Miles,2018,63,
Matz, Steven,2018,68,
Lucchesi, Joey,2018,59,
Lockett, Walker,2018,16,
Loaisiga, Jonathan,2018,14,
Lawrence, Casey,2018,19,
Kittredge, Andrew,2018,33,
Kela, Keone,2018,19,
Johnson, Jim,2018,27,
Johnson, Brian,2018,46,
Jimenez, Joe,2018,30,
Hill, Rich,2018,54,
Hart, Donnie,2018,12,
Hall, Matt,2018,13,
Grimm, Justin,2018,20,
Gray, Jon,2018,98,
Gossett, Daniel,2018,14,
Gonsalves, Stephen,2018,18,
Glasnow, Tyler,2018,53,
Gilmartin, Sean,2018,9,
Garrett, Amir,2018,30,
Fulmer, Michael,2018,69,
Fried, Max,2018,11,
Devenski, Chris,2018,22,
Curtis, Zac,2018,9,
Cueto, Johnny,2018,19,
Crockett, Kyle,2018,6,
Conlon, P.J.,2018,7,
Colome, Alex,2018,23,
Coleman, Louis,2018,20,
Clippard, Tyler,2018,28,
Carroll, Cody,2018,17,
Buchter, Ryan,2018,12,
Burnes, Corbin,2018,11,
Buchholz, Clay,2018,22,
Brigham, Jeff,2018,11,
Brault, Steven,2018,47,
Brasier, Ryan,2018,6,
Bowman, Matt,2018,16,
Blackburn, Paul,2018,22,
Biddle, Jesse,2018,22,
Bettis, Chad,2018,67,
Beede, Tyler,2018,7,
Beck, Chris,2018,17,
Bassitt, Chris,2018,16,
Barnes, Matt,2018,25,
Barnes, Jacob,2018,18,
Barbato, Johnny,2018,9,
Banda, Anthony,2018,6,
Axford, John,2018,32,
Alvarado, Jose,2018,17,
Adams, Chance,2018,6,
Yarbrough, Ryan,2018,64,
Wright, Steven,2018,16,
Woodruff, Brandon,2018,17,
Wilson, Justin,2018,21,
Williams, Austen,2018,6,
Wick, Rowan,2018,6,
Vizcaino, Arodys,2018,9,
Venditte, Pat,2018,4,
Venditte, Pat,2018,4,
Valdez, Framber,2018,9,
Urena, Jose,2018,77,
Tarpley, Stephen,2018,3,
Taillon, Jameson,2018,68,
Snell, Blake,2018,38,
Skoglund, Eric,2018,40,
Sherfy, James,2018,3,
Severino, Luis,2018,72,
Romero, Fernando,2018,29,
Robles, Hansel,2018,23,
Reed, Cody,2018,19,
Ramirez, Noe,2018,42,
Quackenbush, Kevin,2018,11,
Pruitt, Austin,2018,36,
Pivetta, Nick,2018,87,
Perez, Oliver,2018,5,
Perez, Martin,2018,59,
Peralta, Freddy,2018,37,
Pena, Felix,2018,43,
Parker, Blake,2018,24,
Paredes, Eduardo,2018,14,
Ottavino, Adam,2018,21,
O'Day, Darren,2018,8,
Newcomb, Sean,2018,71,
Musgrove, Joe,2018,52,
Moylan, Peter,2018,14,
Minter, A.J.,2018,22,
Mills, Alec,2018,8,
Mengden, Daniel,2018,52,
Mella, Keury,2018,9,
Melancon, Mark,2018,14,
McCarthy, Kevin,2018,26,
Mayza, Tim,2018,13,
Martin, Chris,2018,21,
Marshall, Evan,2018,6,
Marquez, German,2018,82,
Lugo, Seth,2018,30,
Lorenzen, Michael,2018,28,
Lopez, Yoan,2018,3,
Lively, Ben,2018,19,
Lewicki, Artie,2018,21,
Lester, Jon,2018,67,
Leake, Mike,2018,90,
Kontos, George,2018,13,
Kelly, Casey,2018,8,
Keller, Brad,2018,48,
Jansen, Kenley,2018,24,
Hudson, Dakota,2018,8,
Holland, Derek,2018,68,
Hicks, Jordan,2018,31,
Hernandez, Felix,2018,96,
Heaney, Andrew,2018,83,
Hardy, Blaine,2018,34,
Hamilton, Ian,2018,4,
Greene, Shane,2018,36,
Frare, Caleb,2018,4,
Finnegan, Brandon,2018,17,
Font, Wilmer,2018,29,
Fillmyer, Heath,2018,39,
Fernandez, Jose Manuel,2018,7,
Feliz, Michael,2018,30,
Farquhar, Danny,2018,5,
Elias, Roenis,2018,15,
Edwards Jr., Carl,2018,15,
De Los Santos, Enyel,2018,10,
Cortes, Nestor,2018,4,
Cook, Ryan,2018,10,
Cole, Taylor,2018,11,
Cimber, Adam,2018,26,
Chen, Wei-Yin,2018,71,
Chavez, Jesse,2018,27,
Chacin, Jhoulys,2018,75,
Carpenter, Ryan,2018,18,
Busenitz, Alan,2018,22,
Bridwell, Parker,2018,13,
Brach, Brad,2018,25,
Bass, Anthony,2018,5,
Archer, Chris,2018,71,
Alvarez, Jose,2018,19,
Ziegler, Brad,2018,32,
Yates, Kirby,2018,15,
Wright, Kyle,2018,3,
Wendelken, J.B.,2018,1,
Watson, Tony,2018,19,
Walden, Marcus,2018,6,
Wahl, Bobby,2018,6,
Verlander, Justin,2018,60,
Tanaka, Masahiro,2018,65,
Suter, Brent,2018,50,
Suero, Wander,2018,19,
Strickland, Hunter,2018,20,
Strahm, Matt,2018,14,
Sparkman, Glenn,2018,19,
Soria, Joakim,2018,21,
Sobotka, Chad,2018,3,
Smith, Joe,2018,19,
Smith, Drew,2018,11,
Slegers, Aaron,2018,8,
Santiago, Hector,2018,50,
Sanchez, Anibal,2018,43,
Samardzija, Jeff,2018,31,
Rumbelow, Nick,2018,12,
Ross, Joe,2018,9,
Rodriguez, Dereck,2018,37,
Roark, Tanner,2018,87,
Rios, Yacksel,2018,27,
Richard, Clayton,2018,94,
Ramirez, Neil,2018,21,
Ramirez, JC,2018,7,
Pressly, Ryan,2018,20,
Paulino, David,2018,1,
Pagan, Emilio,2018,30,
Osich, Josh,2018,11,
Nova, Ivan,2018,75,
Moya, Gabriel,2018,19,
Morrow, Brandon,2018,5,
Moore, Matt,2018,77,
Montas, Frankie,2018,28,
Milner, Hoby,2018,6,
Meyer, Ben,2018,22,
Meisinger, Ryan,2018,15,
McRae, Alex,2018,4,
McGuire, Deck,2018,26,
McAllister, Zach,2018,31,
Leone, Dominic,2018,12,
Kennedy, Ian,2018,62,
Kennedy, Brett,2018,20,
Jeffress, Jeremy,2018,11,
Guilmet, Preston,2018,13,
Guerra, Junior,2018,64,
Greinke, Zack,2018,74,
Goeddel, Erik,2018,12,
Giolito, Lucas,2018,118,
German, Domingo,2018,53,
Gearrin, Cory,2018,24,
Gausman, Kevin,2018,80,
Fulmer, Carson,2018,29,
Fry, Jace,2018,25,
Freeland, Kyle,2018,64,
Floro, Dylan,2018,16,
Fister, Doug,2018,33,
Ferguson, Caleb,2018,19,
Farrell, Luke,2018,18,
Dunn, Mike,2018,17,
Duffy, Danny,2018,84,
Duffey, Tyler,2018,20,
Doolittle, Sean,2018,8,
Diaz, Edwin,2018,16,
Despaigne, Odrisamer,2018,29,
Delgado, Randall,2018,6,
De La Rosa, Jorge,2018,21,
Conley, Adam,2018,23,
Cole, Gerrit,2018,64,
Cashner, Andrew,2018,90,
Cahill, Trevor,2018,46,
Butler, Eddie,2018,31,
Bummer, Aaron,2018,15,
Bradley, Archie,2018,29,
Blevins, Jerry,2018,23,
Black, Ray,2018,16,
Bauer, Trevor,2018,43,
Baez, Sandy,2018,8,
Baez, Pedro,2018,18,
Armstrong, Shawn,2018,2,
Anderson, Drew,2018,7,
Alexander, Scott,2018,27,
deGrom, Jacob,2018,41,
Zamora, Daniel,2018,3,
Yacabonis, Jimmy,2018,24,
Wittgren, Nick,2018,11,
Wisler, Matt,2018,19,
Wingenter, Trey,2018,8,
Williams, Trevor,2018,59,
Williams, Taylor,2018,25,
Weaver, Luke,2018,75,
Warren, Adam,2018,18,
Walker, Taijuan,2018,5,
Velasquez, Vince,2018,79,
Thompson, Jake,2018,9,
Syndergaard, Noah,2018,52,
Suarez, Andrew,2018,80,
Stripling, Ross,2018,41,
Straily, Dan,2018,56,
Soroka, Mike,2018,10,
Shields, James,2018,103,
Sewald, Paul,2018,38,
Scott, Tanner,2018,32,
Scott, Robby,2018,6,
Rusin, Chris,2018,37,
Rodriguez, Richard,2018,19,
Rodriguez, Eduardo,2018,55,
Rodon, Carlos,2018,56,
Richards, Garrett,2018,31,
Rhame, Jacob,2018,21,
Ramirez, Yefry,2018,43,
Porcello, Rick,2018,91,
Plutko, Adam,2018,45,
Peralta, Wandy,2018,27,
Oswalt, Corey,2018,42,
Ohtani, Shohei,2018,19,
Oaks, Trevor,2018,11,
Nola, Aaron,2018,56,
Nix, Jacob,2018,33,
Neshek, Pat,2018,7,
Moronta, Reyes,2018,18,
Milone, Tommy,2018,17,
Miller, Andrew,2018,16,
McCullers Jr., Lance,2018,55,
McCarthy, Brandon,2018,43,
Mazzoni, Cory,2018,1,
Maurer, Brandon,2018,27,
Martinez, Carlos,2018,41,
Maples, Dillon,2018,7,
Loup, Aaron,2018,20,
Liriano, Francisco,2018,68,
Lauer, Eric,2018,54,
Koch, Matt,2018,40,
Kingham, Nick,2018,44,
Johnson, Pierce,2018,27,
Jerez, Williams,2018,10,
Hughes, Phil,2018,23,
Hudson, Daniel,2018,21,
Houser, Adrian,2018,5,
Hildenberger, Trevor,2018,44,
Hess, David,2018,56,
Hauschild, Mike,2018,4,
Harvey, Matt,2018,85,
Hammel, Jason,2018,85,
Hale, David,2018,7,
Gonzalez, Gio,2018,80,
Gomber, Austin,2018,37,
Gaviglio, Sam,2018,73,
Garcia, Yimi,2018,14,
Gant, John,2018,44,
Gallegos, Giovanny,2018,5,
Gagnon, Drew,2018,7,
Flexen, Chris,2018,9,
Fields, Josh,2018,10,
Edwards, Jon,2018,3,
Diaz, Miguel,2018,10,
Curtiss, John,2018,4,
Covey, Dylan,2018,70,
Cordero, Jimmy,2018,12,
Cole, A.J.,2018,33,
Clevinger, Mike,2018,67,
Castro, Miguel,2018,38,
Bumgarner, Madison,2018,47,
Boyer, Blaine,2018,29,
Bibens-Dirkx, Austin,2018,31,
Bedrosian, Cam,2018,27,
Bashlor, Tyler,2018,15,
Bard, Luke,2018,7,
Altavilla, Dan,2018,6,
Zimmermann, Jordan,2018,66,
VerHagen, Drew,2018,29,
Turner, Jacob,2018,15,
Turnbull, Spencer,2018,11,
Tuivailala, Sam,2018,14,
Tepera, Ryan,2018,26,
Stroman, Marcus,2018,63,
Stephenson, Robert,2018,12,
Stammen, Craig,2018,24,
Springs, Jeffrey,2018,12,
Scherzer, Max,2018,62,
Sale, Chris,2018,37,
Salas, Fernando,2018,20,
Rosscup, Zac,2018,6,
Romero, Enny,2018,14,
Rogers, Taylor,2018,20,
Peterson, Tim,2018,19,
Peralta, Wily,2018,14,
Otero, Dan,2018,34,
Oh, Seunghwan,2018,20,
Odorizzi, Jake,2018,82,
Oberg, Scott,2018,16,
Norris, Bud,2018,23,
Minaya, Juan,2018,17,
Mendez, Yohander,2018,17,
McGowin, Kyle,2018,5,
Maton, Phil,2018,23,
Mann, Brandon,2018,5,
Magill, Matt,2018,24,
Maeda, Kenta,2018,53,
Lyons, Tyler,2018,16,
Lyles, Jordan,2018,40,
Lopez, Pablo,2018,27,
Logan, Boone,2018,7,
Law, Derek,2018,11,
Kuhl, Chad,2018,43,
Kolarek, Adam,2018,15,
Kintzler, Brandon,2018,31,
Jones, Nate,2018,10,
Iglesias, Raisel,2018,19,
Hutchison, Drew,2018,32,
Hoffman, Jeff,2018,9,
Hirano, Yoshihisa,2018,18,
Hill, Tim,2018,23,
Herrera, Kelvin,2018,12,
Harris, Will,2018,22,
Happ, J.A.,2018,72,
Hamels, Cole,2018,80,
Gsellman, Robert,2018,38,
Gray, Sonny,2018,71,
Graves, Brett,2018,20,
Graveman, Kendall,2018,29,
Grace, Matt,2018,19,
Gonzales, Marco,2018,74,
Gohara, Luiz,2018,13,
Festa, Matt,2018,2,
Gallardo, Yovani,2018,67,
Foltynewicz, Mike,2018,58,
Fedde, Erick,2018,31,
Familia, Jeurys,2018,25,
Estrada, Marco,2018,90,
Erlin, Robbie,2018,51,
Eovaldi, Nathan,2018,47,
Dull, Ryan,2018,12,
Drake, Oliver,2018,28,
De Jong, Chase,2018,7,
Davies, Zach,2018,35,
Darvish, Yu,2018,22,
Crick, Kyle,2018,16,
Collins, Tim,2018,11,
Chafin, Andrew,2018,17,
Carrasco, Carlos,2018,72,
Allen, Cody,2018,35,
Berrios, Jose,2018,82,
Bergman, Christian,2018,9,
Beliveau, Jeff,2018,6,
Barrett, Jake,2018,4,
Barraclough, Kyle,2018,26,
Barnette, Tony,2018,7,
Arano, Victor,2018,18,
Anderson, Tanner,2018,8,
Anderson, Chase,2018,69,
Alcantara, Victor,2018,8,
Rodriguez, Ricardo,2018,3,
Sadler, Casey,2018,4,
Taylor, Ben,2018,4,
Weber, Ryan,2018,3,
Socolovich, Miguel,2018,6,
Bautista, Gerson,2018,6,
Eickhoff, Jerad,2018,4,
Scahill, Rob,2018,3,
Okert, Steven,2018,1,
