last_name,first_name,year,p_earned_run,
Workman, Brandon,2018,15,
Wilson, Bryse,2018,5,
Wilkerson, Aaron,2018,10,
Webb, Tyler,2018,10,
Voth, Austin,2018,9,
Vincent, Nick,2018,25,
Vieira, Thyago,2018,14,
Torres, Carlos,2018,7,
Strop, Pedro,2018,15,
Stock, Robert,2018,11,
Steckenrider, Drew,2018,28,
Stanek, Ryne,2018,22,
Smoker, Josh,2018,7,
Smith, Carson,2018,6,
Skaggs, Tyler,2018,56,
Sipp, Tony,2018,8,
Sims, Lucas,2018,13,
Shoemaker, Matt,2018,17,
Schultz, Jaime,2018,19,
Santana, Edgar,2018,24,
Rogers, Josh,2018,11,
Roe, Chaz,2018,20,
Rodney, Fernando,2018,24,
Richards, Trevor,2018,62,
Ramos, AJ,2018,14,
Ramirez, Jose,2018,12,
Rainey, Tanner,2018,19,
Ponce de Leon, Daniel,2018,10,
Petricka, Jake,2018,23,
Petit, Yusmeiro,2018,31,
Pelham, CD,2018,6,
Hand, Brad,2018,22,
Morgan, Adam,2018,21,
Montgomery, Mike,2018,55,
Montgomery, Jordan,2018,11,
Mitchell, Bryan,2018,44,
Miller, Shelby,2018,19,
Mejia, Adalberto,2018,5,
Mayers, Mike,2018,27,
Marinez, Jhan,2018,5,
Manaea, Sean,2018,64,
Madson, Ryan,2018,32,
Lopez, Reynaldo,2018,82,
Lopez, Jorge,2018,30,
Leclerc, Jose,2018,10,
Kopech, Michael,2018,8,
Kluber, Corey,2018,69,
Kinley, Tyler,2018,15,
Kimbrel, Craig,2018,19,
Kershaw, Clayton,2018,49,
Johnson, DJ,2018,3,
Jepsen, Kevin,2018,11,
James, Josh,2018,6,
Jackson, Luke,2018,20,
Hunter, Tommy,2018,27,
Hughes, Jared,2018,17,
Holder, Jonathan,2018,23,
Hernandez, David,2018,18,
Hendricks, Kyle,2018,76,
Kelley, Shawn,2018,16,
Hader, Josh,2018,22,
Guerra, Javy,2018,22,
Green, Chad,2018,21,
Garcia, Jaime,2018,53,
Flaherty, Jack,2018,56,
Duke, Zach,2018,24,
Duensing, Brian,2018,32,
Dominguez, Seranthony,2018,19,
DeSclafani, Anthony,2018,63,
Davis, Wade,2018,30,
Corbin, Patrick,2018,70,
Cessa, Luis,2018,26,
Carle, Shane,2018,20,
Bush, Matt,2018,12,
Bundy, Dylan,2018,104,
Bradford, Chasen,2018,22,
Biagini, Joe,2018,48,
Barria, Jaime,2018,49,
Barnes, Danny,2018,26,
Avilan, Luis,2018,19,
Arrieta, Jake,2018,76,
Araujo, Pedro,2018,24,
Anderson, Tyler,2018,89,
Anderson, Justin,2018,25,
Almonte, Yency,2018,3,
Almonte, Miguel,2018,8,
