,pitcher_id,walks,hits,at-bats,IP,WHIP,cERA
0,452657,246,690,3170,715.0000000000026,1.3090909090909042,3.587412587412574
1,425794,138,426,1687,368.33333333333354,1.5312217194570128,4.813574660633481
2,457435,13,25,101,22.000000000000007,1.7272727272727266,4.909090909090907
3,435400,46,104,481,102.0,1.4705882352941178,4.411764705882353
4,519166,66,105,502,98.33333333333329,1.7389830508474584,6.1322033898305115
5,593372,302,616,2947,659.0000000000018,1.3930197268588733,3.414264036418807
6,467008,107,149,949,223.33333333333377,1.1462686567164158,2.861194029850741
7,477229,4,7,42,9.333333333333332,1.1785714285714288,0.9642857142857144
8,444468,69,205,971,226.00000000000045,1.2123893805309711,3.225663716814153
9,572096,80,147,686,147.33333333333357,1.54072398190045,3.298642533936646
10,433587,245,563,2539,564.666666666667,1.4309327036599757,4.494687131050765
11,450308,116,423,1632,321.3333333333327,1.677385892116186,6.077800829875531
12,459987,39,115,433,93.00000000000011,1.6559139784946217,4.645161290322575
13,543144,69,131,622,131.00000000000006,1.5267175572519078,4.740458015267174
14,518703,7,9,83,19.999999999999996,0.8000000000000002,2.2500000000000004
15,605476,39,72,388,90.00000000000014,1.2333333333333314,2.499999999999996
16,477569,70,231,995,217.33333333333366,1.3849693251533721,4.803680981595085
17,407845,142,215,1080,233.33333333333385,1.5299999999999965,4.165714285714277
18,506693,18,42,169,36.0,1.6666666666666667,0.0
19,527054,304,654,3149,686.0000000000018,1.3965014577259438,4.303206997084537
20,501593,71,146,696,153.33333333333343,1.4152173913043469,3.8152173913043455
21,462382,97,257,1082,241.66666666666717,1.4648275862068936,4.357241379310336
22,445197,91,154,719,148.66666666666677,1.647982062780268,5.145739910313898
23,573109,119,163,902,192.3333333333337,1.466204506065855,3.649913344887341
24,276351,63,118,575,120.66666666666671,1.4999999999999993,4.922651933701656
25,502042,259,706,3215,717.333333333336,1.3452602230483222,4.115241635687717
26,501957,216,498,2039,421.66666666666663,1.6932806324110674,5.976284584980237
27,544993,38,69,383,84.0000000000001,1.2738095238095224,4.821428571428566
28,503285,66,131,713,157.66666666666688,1.2494714587737827,3.139534883720926
29,457117,18,26,131,26.33333333333332,1.6708860759493678,5.468354430379749
30,542924,14,30,111,22.000000000000007,1.9999999999999993,7.77272727272727
31,346797,5,3,21,4.0,2.0,0.0
