last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Bauer, Trevor,545333,2019,911,557,.230,.228,.002,.429,.410,.019,.316,.315,.001,4.48,4.21,0.27
Lynn, Lance,458681,2019,875,562,.243,.231,.012,.390,.384,.006,.294,.292,.002,3.67,3.57,0.10
Gonzales, Marco,594835,2019,866,657,.264,.257,.007,.422,.415,.007,.311,.315,-.004,3.99,4.21,-0.22
Minor, Mike,501985,2019,863,588,.244,.233,.011,.395,.397,-.002,.301,.303,-.002,3.59,3.87,-0.28
Bieber, Shane,669456,2019,859,554,.230,.244,-.014,.393,.430,-.037,.280,.303,-.023,3.28,3.87,-0.59
Rodriguez, Eduardo,593958,2019,859,564,.253,.225,.028,.391,.380,.011,.307,.296,.011,3.81,3.68,0.13
Nola, Aaron,605400,2019,852,532,.233,.239,-.006,.393,.403,-.010,.304,.315,-.011,3.87,4.21,-0.34
Verlander, Justin,434378,2019,847,498,.172,.188,-.016,.361,.350,.011,.243,.250,-.007,2.58,2.60,-0.02
Bumgarner, Madison,518516,2019,844,587,.245,.258,-.013,.426,.466,-.040,.300,.325,-.025,3.90,4.51,-0.61
Berrios, Jose,621244,2019,842,587,.251,.248,.003,.404,.424,-.020,.300,.310,-.010,3.68,4.06,-0.38
Strasburg, Stephen,544931,2019,841,524,.210,.214,-.004,.349,.346,.003,.265,.272,-.007,3.32,3.08,0.24
Alcantara, Sandy,645261,2019,838,598,.241,.248,-.007,.397,.432,-.035,.308,.327,-.019,3.88,4.57,-0.69
Leake, Mike,502190,2019,835,671,.286,.298,-.012,.506,.526,-.020,.341,.360,-.019,4.29,5.69,-1.40
Corbin, Patrick,571578,2019,835,524,.227,.229,-.002,.375,.419,-.044,.285,.308,-.023,3.25,4.00,-0.75
Wheeler, Zack,554430,2019,828,580,.258,.251,.007,.391,.405,-.014,.294,.304,-.010,3.96,3.89,0.07
Syndergaard, Noah,592789,2019,824,567,.256,.235,.021,.410,.372,.038,.301,.286,.015,4.28,3.42,0.86
Cole, Gerrit,543037,2019,817,440,.186,.185,.001,.343,.320,.023,.246,.241,.005,2.50,2.41,0.09
Greinke, Zack,425844,2019,810,589,.228,.243,-.015,.364,.397,-.033,.263,.288,-.025,2.93,3.47,-0.54
Lopez, Reynaldo,625643,2019,809,567,.278,.262,.016,.491,.479,.012,.349,.343,.006,5.38,5.09,0.29
Nova, Ivan,467100,2019,806,635,.303,.299,.004,.483,.483,.000,.351,.357,-.006,4.72,5.58,-0.86
deGrom, Jacob,594798,2019,804,498,.207,.207,.000,.323,.329,-.006,.250,.256,-.006,2.43,2.72,-0.29
Morton, Charlie,450203,2019,790,481,.215,.222,-.007,.340,.347,-.007,.270,.281,-.011,3.05,3.30,-0.25
Boyd, Matthew,571510,2019,788,491,.247,.224,.023,.465,.412,.053,.320,.298,.022,4.56,3.73,0.83
Castillo, Luis,622491,2019,780,469,.202,.210,-.008,.343,.335,.008,.277,.283,-.006,3.40,3.35,0.05
Kelly, Merrill,518876,2019,777,558,.260,.275,-.015,.447,.503,-.056,.319,.351,-.032,4.42,5.36,-0.94
Stroman, Marcus,573186,2019,774,555,.257,.248,.009,.384,.377,.007,.300,.298,.002,3.22,3.73,-0.51
Flaherty, Jack,656427,2019,772,479,.192,.217,-.025,.335,.369,-.034,.254,.281,-.027,2.75,3.30,-0.55
