last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Junis, Jakob,596001,2019,771,537,.276,.276,.000,.468,.491,-.023,.340,.353,-.013,5.24,5.44,-0.20
Porcello, Rick,519144,2019,768,573,.278,.265,.013,.483,.487,-.004,.338,.337,.001,5.52,4.89,0.63
Mikolas, Miles,571945,2019,764,576,.272,.281,-.009,.449,.459,-.010,.319,.336,-.017,4.16,4.86,-0.70
Lester, Jon,452657,2019,764,542,.294,.277,.017,.470,.461,.009,.344,.341,.003,4.46,5.02,-0.56
Tanaka, Masahiro,547888,2019,759,568,.261,.265,-.004,.450,.441,.009,.314,.322,-.008,4.45,4.41,0.04
Hudson, Dakota,641712,2019,757,526,.245,.264,-.019,.403,.424,-.021,.316,.340,-.024,3.35,4.99,-1.64
Fiers, Mike,571666,2019,754,566,.243,.266,-.023,.408,.473,-.065,.303,.343,-.040,3.90,5.09,-1.19
Teheran, Julio,527054,2019,754,494,.229,.243,-.014,.389,.418,-.029,.310,.329,-.019,3.81,4.63,-0.82
Ray, Robbie,592662,2019,747,422,.234,.232,.002,.441,.437,.004,.323,.327,-.004,4.34,4.57,-0.23
Quintana, Jose,500779,2019,745,544,.282,.277,.005,.440,.444,-.004,.321,.333,-.012,4.68,4.76,-0.08
Wainwright, Adam,425794,2019,745,520,.273,.269,.004,.440,.439,.001,.330,.335,-.005,4.19,4.82,-0.63
Anderson, Brett,474463,2019,743,600,.265,.287,-.022,.408,.489,-.081,.308,.353,-.045,3.89,5.44,-1.55
Samardzija, Jeff,502188,2019,740,545,.225,.259,-.034,.411,.481,-.070,.289,.335,-.046,3.52,4.82,-1.30
Perez, Martin,527048,2019,737,532,.279,.250,.029,.439,.394,.045,.334,.312,.022,5.12,4.12,1.00
Buehler, Walker,621111,2019,737,478,.223,.231,-.008,.368,.376,-.008,.270,.282,-.012,3.26,3.32,-0.06
Darvish, Yu,506433,2019,731,435,.213,.227,-.014,.411,.405,.006,.294,.302,-.008,3.98,3.84,0.14
Hendricks, Kyle,543294,2019,730,538,.249,.254,-.005,.397,.405,-.008,.291,.302,-.011,3.46,3.84,-0.38
Ryu, Hyun Jin,547943,2019,723,532,.234,.256,-.022,.359,.381,-.022,.263,.289,-.026,2.32,3.49,-1.17
Roark, Tanner,543699,2019,722,499,.275,.275,.000,.467,.477,-.010,.340,.349,-.009,4.35,5.29,-0.94
Marquez, German,608566,2019,721,506,.259,.276,-.017,.441,.469,-.028,.311,.335,-.024,4.76,4.82,-0.06
Kikuchi, Yusei,579328,2019,721,549,.295,.283,.012,.539,.486,.053,.368,.352,.016,5.46,5.40,0.06
Miley, Wade,489119,2019,720,513,.254,.249,.005,.406,.389,.017,.311,.311,.000,3.98,4.09,-0.11
Musgrove, Joe,605397,2019,718,512,.254,.253,.001,.437,.429,.008,.309,.312,-.003,4.44,4.12,0.32
Sanchez, Anibal,434671,2019,712,516,.236,.254,-.018,.406,.428,-.022,.296,.316,-.020,3.85,4.23,-0.38
Keller, Brad,641745,2019,709,508,.247,.262,-.015,.381,.423,-.042,.307,.335,-.028,4.19,4.82,-0.63
Gray, Sonny,543243,2019,708,428,.196,.214,-.018,.325,.362,-.037,.265,.290,-.025,2.87,3.52,-0.65
Gibson, Kyle,502043,2019,706,482,.275,.273,.002,.443,.445,-.002,.333,.338,-.005,4.84,4.92,-0.08
Kershaw, Clayton,477132,2019,706,472,.222,.235,-.013,.394,.405,-.011,.281,.296,-.015,3.03,3.68,-0.65
Giolito, Lucas,608337,2019,705,416,.205,.218,-.013,.373,.373,.000,.275,.287,-.012,3.41,3.44,-0.03
Eflin, Zach,621107,2019,705,522,.268,.251,.017,.452,.425,.027,.325,.313,.012,4.13,4.15,-0.02
Fried, Max,608331,2019,702,476,.270,.254,.016,.419,.387,.032,.315,.303,.012,4.02,3.87,0.15
Soroka, Mike,647336,2019,701,510,.236,.265,-.029,.340,.402,-.062,.272,.312,-.040,2.68,4.12,-1.44
Bundy, Dylan,605164,2019,700,474,.256,.242,.014,.462,.412,.050,.329,.314,.015,4.79,4.18,0.61
DeSclafani, Anthony,543101,2019,696,476,.238,.238,.000,.422,.413,.009,.300,.305,-.005,3.89,3.92,-0.03
Bailey, Homer,456701,2019,696,490,.256,.268,-.012,.403,.430,-.027,.307,.328,-.021,4.57,4.60,-0.03
Scherzer, Max,453286,2019,693,409,.222,.206,.016,.371,.342,.029,.269,.258,.011,2.92,2.77,0.15
Matz, Steven,571927,2019,691,479,.260,.260,.000,.454,.461,-.007,.325,.332,-.007,4.21,4.73,-0.52
Lucchesi, Joey,664192,2019,686,470,.233,.234,-.001,.405,.402,.003,.298,.305,-.007,4.18,3.92,0.26
Happ, J.A.,457918,2019,678,482,.258,.261,-.003,.469,.468,.001,.329,.334,-.005,4.91,4.79,0.12
Thornton, Trent,663423,2019,676,462,.259,.262,-.003,.439,.440,-.001,.325,.333,-.008,4.84,4.76,0.08
Davies, Zach,605200,2019,672,516,.256,.284,-.028,.416,.477,-.061,.310,.348,-.038,3.55,5.26,-1.71
Odorizzi, Jake,543606,2019,658,423,.234,.233,.001,.371,.406,-.035,.289,.304,-.015,3.51,3.89,-0.38
Turnbull, Spencer,605513,2019,656,435,.267,.258,.009,.413,.431,-.018,.329,.335,-.006,4.61,4.82,-0.21
Lauer, Eric,641778,2019,651,457,.268,.251,.017,.430,.427,.003,.321,.317,.004,4.45,4.27,0.18
Vargas, Jason,450306,2019,649,456,.249,.247,.002,.424,.451,-.027,.318,.331,-.013,4.51,4.69,-0.18
Smith, Caleb,592761,2019,646,412,.223,.230,-.007,.454,.470,-.016,.315,.328,-.013,4.52,4.60,-0.08
Gray, Jon,592351,2019,637,427,.259,.271,-.012,.437,.432,.005,.323,.332,-.009,3.84,4.73,-0.89
Means, John,607644,2019,637,472,.234,.241,-.007,.417,.430,-.013,.295,.309,-.014,3.60,4.03,-0.43
Williams, Trevor,592866,2019,636,472,.284,.278,.006,.513,.490,.023,.351,.350,.001,5.38,5.33,0.05
Cashner, Andrew,488768,2019,636,466,.253,.266,-.013,.418,.472,-.054,.317,.348,-.031,4.68,5.26,-0.58
Paxton, James,572020,2019,633,390,.242,.228,.014,.423,.390,.033,.310,.299,.011,3.82,3.76,0.06
Maeda, Kenta,628317,2019,624,400,.202,.218,-.016,.371,.352,.019,.274,.279,-.005,4.04,3.25,0.79
Hamels, Cole,430935,2019,617,409,.260,.251,.009,.406,.422,-.016,.317,.327,-.010,3.81,4.57,-0.76
Bassitt, Chris,605135,2019,612,411,.229,.236,-.007,.394,.396,-.002,.299,.308,-.009,3.81,4.00,-0.19
Sale, Chris,519242,2019,612,344,.221,.215,.006,.412,.385,.027,.294,.287,.007,4.40,3.44,0.96
Norris, Daniel,596057,2019,610,443,.275,.269,.006,.473,.481,-.008,.334,.339,-.005,4.49,4.95,-0.46
Sparkman, Glenn,642098,2019,606,478,.296,.295,.001,.527,.525,.002,.364,.370,-.006,6.02,6.07,-0.05
Sanchez, Aaron,592717,2019,605,410,.278,.265,.013,.457,.444,.013,.353,.348,.005,5.89,5.26,0.63
Pineda, Michael,501381,2019,600,427,.253,.254,-.001,.430,.448,-.018,.301,.316,-.015,4.01,4.23,-0.22
Lyles, Jordan,543475,2019,599,397,.243,.235,.008,.454,.433,.021,.321,.315,.006,4.15,4.21,-0.06
Arrieta, Jake,453562,2019,594,426,.283,.272,.011,.448,.459,-.011,.339,.343,-.004,4.64,5.09,-0.45
German, Domingo,593334,2019,594,397,.228,.248,-.020,.442,.455,-.013,.305,.322,-.017,4.03,4.41,-0.38
Anderson, Chase,502624,2019,592,410,.240,.251,-.011,.449,.431,.018,.320,.325,-.005,4.21,4.51,-0.30
Senzatela, Antonio,622608,2019,582,445,.313,.300,.013,.506,.482,.024,.373,.367,.006,6.71,5.95,0.76
Richards, Trevor,670950,2019,580,392,.249,.241,.008,.422,.419,.003,.316,.319,-.003,4.06,4.32,-0.26
Paddack, Chris,663978,2019,568,378,.204,.222,-.018,.380,.394,-.014,.268,.285,-.017,3.33,3.39,-0.06
Yarbrough, Ryan,642232,2019,563,416,.228,.256,-.028,.383,.401,-.018,.273,.299,-.026,4.13,3.76,0.37
Sampson, Adrian,592716,2019,563,417,.302,.299,.003,.568,.551,.017,.382,.380,.002,5.89,6.47,-0.58
Wacha, Michael,608379,2019,561,400,.290,.281,.009,.503,.500,.003,.360,.363,-.003,4.76,5.80,-1.04
Mahle, Tyler,641816,2019,556,387,.266,.255,.011,.457,.442,.015,.326,.321,.005,5.14,4.38,0.76
Duffy, Danny,518633,2019,555,386,.251,.264,-.013,.438,.474,-.036,.323,.346,-.023,4.34,5.19,-0.85
Lopez, Jorge,605347,2019,548,387,.286,.274,.012,.513,.521,-.008,.360,.367,-.007,6.33,5.95,0.38
Jurado, Ariel,642558,2019,541,420,.304,.297,.007,.526,.523,.003,.362,.370,-.008,5.81,6.07,-0.26
LeBlanc, Wade,453281,2019,532,408,.291,.282,.009,.534,.500,.034,.359,.348,.011,5.71,5.26,0.45
Chirinos, Yonny,630023,2019,530,385,.225,.263,-.038,.414,.465,-.051,.286,.327,-.041,3.85,4.57,-0.72
Archer, Chris,502042,2019,526,324,.249,.263,-.014,.461,.485,-.024,.334,.352,-.018,5.19,5.40,-0.21
Beede, Tyler,595881,2019,523,359,.271,.269,.002,.462,.483,-.021,.339,.351,-.012,5.08,5.36,-0.28
Velasquez, Vince,592826,2019,516,333,.263,.254,.009,.499,.475,.024,.347,.341,.006,4.91,5.02,-0.11
Smyly, Drew,592767,2019,514,337,.278,.264,.014,.558,.522,.036,.379,.365,.014,6.24,5.88,0.36
Brault, Steven,643230,2019,505,344,.265,.261,.004,.438,.446,-.008,.338,.343,-.005,5.16,5.09,0.07
Zimmermann, Jordan,519455,2019,504,391,.311,.302,.009,.526,.533,-.007,.363,.370,-.007,6.91,6.07,0.84
Clevinger, Mike,605182,2019,499,291,.209,.209,.000,.331,.349,-.018,.261,.270,-.009,2.71,3.03,-0.32
Woodruff, Brandon,605540,2019,493,315,.240,.235,.005,.357,.366,-.009,.281,.286,-.005,3.62,3.42,0.20
Foltynewicz, Mike,592314,2019,491,347,.244,.259,-.015,.460,.460,.000,.319,.331,-.012,4.54,4.69,-0.15
Strahm, Matt,621381,2019,487,340,.267,.259,.008,.477,.481,-.004,.326,.327,-.001,4.71,4.57,0.14
Keuchel, Dallas,572971,2019,487,348,.265,.263,.002,.426,.429,-.003,.327,.333,-.006,3.75,4.76,-1.01
Brooks, Aaron,605156,2019,482,356,.271,.270,.001,.493,.487,.006,.348,.351,-.003,5.65,5.36,0.29
Ynoa, Gabriel,593679,2019,480,384,.280,.290,-.010,.536,.546,-.010,.354,.368,-.014,5.61,5.99,-0.38
Plesac, Zach,668676,2019,475,344,.237,.278,-.041,.437,.484,-.047,.315,.353,-.038,3.81,5.44,-1.63
Freeland, Kyle,607536,2019,472,353,.296,.292,.004,.554,.512,.042,.372,.366,.006,6.73,5.92,0.81
Chacin, Jhoulys,468504,2019,470,318,.280,.277,.003,.521,.487,.034,.365,.359,.006,6.01,5.65,0.36
Lopez, Pablo,641154,2019,469,336,.261,.260,.001,.435,.440,-.005,.318,.327,-.009,5.09,4.57,0.52
Sabathia, CC,282332,2019,468,318,.265,.244,.021,.512,.421,.091,.351,.317,.034,4.95,4.27,0.68
Beeks, Jalen,656222,2019,464,326,.281,.278,.003,.435,.456,-.021,.337,.349,-.012,4.31,5.29,-0.98
Plutko, Adam,592644,2019,462,354,.267,.270,-.003,.488,.465,.023,.333,.331,.002,4.86,4.69,0.17
Houser, Adrian,605288,2019,462,303,.244,.223,.021,.399,.353,.046,.302,.283,.019,3.72,3.35,0.37
Price, David,456034,2019,458,295,.258,.246,.012,.441,.432,.009,.319,.314,.005,4.28,4.18,0.10
Cahill, Trevor,502239,2019,455,329,.273,.265,.008,.537,.460,.077,.364,.344,.020,5.98,5.12,0.86
Pomeranz, Drew,519141,2019,455,270,.261,.232,.029,.467,.419,.048,.340,.317,.023,4.85,4.27,0.58
Milone, Tommy,543548,2019,453,334,.241,.249,-.008,.485,.480,.005,.313,.323,-.010,4.76,4.45,0.31
Gausman, Kevin,592332,2019,451,300,.282,.257,.025,.454,.452,.002,.332,.327,.005,5.72,4.57,1.15
Quantrill, Cal,615698,2019,443,323,.260,.269,-.009,.430,.444,-.014,.311,.327,-.016,5.16,4.57,0.59
Snell, Blake,605483,2019,441,253,.241,.207,.034,.391,.333,.058,.301,.270,.031,4.29,3.03,1.26
Rodriguez, Dereck,605446,2019,439,330,.271,.285,-.014,.492,.486,.006,.347,.356,-.009,5.64,5.54,0.10
Anderson, Shaun,641312,2019,427,317,.291,.302,-.011,.461,.493,-.032,.345,.366,-.021,5.44,5.92,-0.48
Pivetta, Nick,601713,2019,421,289,.278,.269,.009,.516,.478,.038,.359,.354,.005,5.38,5.47,-0.09
Lambert, Peter,663567,2019,420,321,.321,.304,.017,.571,.498,.073,.395,.371,.024,7.25,6.11,1.14
Heaney, Andrew,571760,2019,409,254,.251,.238,.013,.454,.440,.014,.325,.319,.006,4.91,4.32,0.59
Godley, Zack,643327,2019,407,289,.271,.279,-.008,.469,.487,-.018,.347,.366,-.019,5.97,5.92,0.05
Pena, Felix,570240,2019,407,266,.219,.253,-.034,.402,.436,-.034,.298,.329,-.031,4.58,4.63,-0.05
Montgomery, Mike,543557,2019,402,294,.315,.309,.006,.535,.526,.009,.383,.384,-.001,4.95,6.64,-1.69
Montas, Frankie,593423,2019,394,264,.230,.237,-.007,.364,.366,-.002,.276,.284,-.008,2.63,3.37,-0.74
Gaviglio, Sam,543208,2019,392,278,.235,.236,-.001,.434,.434,.000,.301,.308,-.007,4.61,4.00,0.61
Canning, Griffin,656288,2019,384,250,.235,.223,.012,.431,.410,.021,.312,.306,.006,4.58,3.95,0.63
Peacock, Brad,502748,2019,383,251,.227,.227,.000,.427,.417,.010,.306,.309,-.003,4.12,4.03,0.09
Peralta, Freddy,642547,2019,382,228,.257,.224,.033,.457,.416,.041,.333,.309,.024,5.29,4.03,1.26
Holland, Derek,502706,2019,376,245,.258,.246,.012,.497,.500,-.003,.356,.358,-.002,6.08,5.62,0.46
Suarez, Jose,660761,2019,375,260,.304,.277,.027,.565,.490,.075,.394,.364,.030,7.11,5.84,1.27
Stripling, Ross,548389,2019,370,255,.244,.237,.007,.413,.388,.025,.294,.289,.005,3.47,3.49,-0.02
Clarke, Taylor,664199,2019,369,265,.263,.262,.001,.550,.517,.033,.361,.357,.004,5.31,5.58,-0.27
Urena, Jose,570632,2019,369,279,.293,.285,.008,.473,.475,-.002,.342,.345,-.003,5.21,5.16,0.05
Gonzalez, Gio,461829,2019,366,251,.234,.253,-.019,.397,.428,-.031,.304,.328,-.024,3.50,4.60,-1.10
Hess, David,605276,2019,365,265,.287,.308,-.021,.609,.617,-.008,.390,.406,-.016,7.09,7.62,-0.53
Barria, Jaime,642545,2019,365,261,.275,.273,.002,.572,.530,.042,.370,.362,.008,6.42,5.76,0.66
Wojciechowski, Asher,592879,2019,361,244,.248,.250,-.002,.483,.491,-.008,.339,.345,-.006,4.92,5.16,-0.24
Font, Wilmer,521655,2019,357,229,.242,.230,.012,.488,.427,.061,.330,.310,.020,4.48,4.06,0.42
Hernandez, Elieser,622694,2019,353,233,.242,.214,.028,.503,.401,.102,.340,.299,.041,5.03,3.76,1.27
Young, Alex,622065,2019,349,247,.229,.252,-.023,.413,.441,-.028,.298,.323,-.025,3.56,4.45,-0.89
Ramirez, Nick,598286,2019,348,238,.247,.247,.000,.425,.426,-.001,.313,.321,-.008,4.07,4.38,-0.31
Stratton, Chris,608717,2019,344,242,.300,.270,.030,.506,.426,.080,.366,.334,.032,5.57,4.79,0.78
Guerra, Junior,448855,2019,344,227,.194,.225,-.031,.351,.388,-.037,.275,.306,-.031,3.55,3.95,-0.40
Cessa, Luis,570666,2019,343,234,.246,.231,.015,.433,.377,.056,.317,.302,.015,4.11,3.84,0.27
Lorenzen, Michael,547179,2019,343,228,.221,.222,-.001,.355,.349,.006,.277,.282,-.005,2.92,3.32,-0.40
Carrasco, Carlos,471911,2019,341,227,.288,.267,.021,.542,.504,.038,.356,.339,.017,5.29,4.95,0.34
Stammen, Craig,489334,2019,339,249,.251,.244,.007,.433,.398,.035,.298,.289,.009,3.29,3.49,-0.20
Chavez, Jesse,445926,2019,337,238,.267,.276,-.009,.463,.484,-.021,.331,.348,-.017,4.85,5.26,-0.41
Jackson, Edwin,429719,2019,336,249,.351,.313,.038,.686,.598,.088,.449,.412,.037,9.58,7.91,1.67
Skaggs, Tyler,572140,2019,335,227,.242,.263,-.021,.381,.430,-.049,.297,.327,-.030,4.29,4.57,-0.28
Waguespack, Jacob,621097,2019,335,238,.249,.276,-.027,.439,.475,-.036,.325,.353,-.028,4.38,5.44,-1.06
Gallen, Zac,668678,2019,334,198,.212,.220,-.008,.355,.369,-.014,.287,.298,-.011,2.81,3.73,-0.92
Fedde, Erick,607200,2019,334,258,.276,.318,-.042,.451,.525,-.074,.339,.391,-.052,4.50,6.94,-2.44
Hendriks, Liam,521230,2019,332,185,.201,.185,.016,.309,.308,.001,.237,.234,.003,1.80,2.28,-0.48
Valdez, Framber,664285,2019,329,213,.267,.250,.017,.419,.371,.048,.342,.326,.016,5.86,4.54,1.32
Peters, Dillon,596071,2019,327,241,.290,.286,.004,.570,.523,.047,.381,.367,.014,5.38,5.95,-0.57
Stanek, Ryne,592773,2019,327,199,.214,.227,-.013,.382,.423,-.041,.293,.321,-.028,3.97,4.38,-0.41
Walden, Marcus,519393,2019,327,214,.213,.237,-.024,.341,.354,-.013,.280,.303,-.023,3.81,3.87,-0.06
Cease, Dylan,656302,2019,326,208,.271,.247,.024,.486,.432,.054,.353,.329,.024,5.79,4.63,1.16
Urias, Julio,628711,2019,326,209,.201,.211,-.010,.324,.329,-.005,.263,.273,-.010,2.49,3.10,-0.61
Yamamoto, Jordan,657141,2019,325,202,.191,.234,-.043,.355,.391,-.036,.281,.316,-.035,4.46,4.23,0.23
Pannone, Thomas,623381,2019,325,219,.255,.256,-.001,.455,.477,-.022,.335,.352,-.017,6.16,5.40,0.76
Hernandez, Felix,433587,2019,325,237,.291,.284,.007,.551,.531,.020,.378,.374,.004,6.40,6.23,0.17
Chatwood, Tyler,543022,2019,324,208,.232,.267,-.035,.354,.374,-.020,.302,.330,-.028,3.76,4.66,-0.90
Agrazal, Dario,642607,2019,321,252,.283,.281,.002,.497,.487,.010,.354,.355,-.001,4.91,5.51,-0.60
Tomlin, Josh,458708,2019,320,262,.267,.276,-.009,.463,.477,-.014,.308,.323,-.015,3.74,4.45,-0.71
Castro, Miguel,612434,2019,319,207,.232,.221,.011,.386,.365,.021,.303,.301,.002,4.66,3.81,0.85
McHugh, Collin,543521,2019,317,201,.221,.237,-.016,.432,.409,.023,.309,.314,-.005,4.70,4.18,0.52
Bradley, Archie,605151,2019,317,189,.246,.248,-.002,.371,.385,-.014,.311,.321,-.010,3.52,4.38,-0.86
Detwiler, Ross,446321,2019,315,239,.305,.299,.006,.571,.553,.018,.387,.386,.001,6.59,6.72,-0.13
Hoffman, Jeff,656546,2019,315,209,.283,.289,-.006,.588,.560,.028,.390,.390,.000,6.56,6.90,-0.34
Jackson, Luke,592426,2019,315,181,.266,.204,.062,.402,.345,.057,.311,.268,.043,3.84,2.99,0.85
Lugo, Seth,607625,2019,314,189,.192,.186,.006,.316,.327,-.011,.237,.241,-.004,2.70,2.41,0.29
Lamet, Dinelson,659275,2019,313,173,.226,.221,.005,.409,.389,.020,.308,.304,.004,4.07,3.89,0.18
Shaw, Bryan,543766,2019,312,219,.251,.260,-.009,.465,.434,.031,.337,.337,.000,5.38,4.89,0.49
Andriese, Matt,542882,2019,310,200,.262,.231,.031,.425,.395,.030,.317,.298,.019,4.71,3.73,0.98
Barlow, Scott,605130,2019,310,178,.240,.219,.021,.397,.358,.039,.314,.299,.015,4.22,3.76,0.46
Buttrey, Ty,621142,2019,309,197,.247,.248,-.001,.376,.403,-.027,.298,.315,-.017,3.98,4.21,-0.23
Estevez, Carlos,608032,2019,308,203,.250,.243,.007,.450,.425,.025,.316,.308,.008,3.75,4.00,-0.25
Petit, Yusmeiro,433589,2019,308,227,.194,.217,-.023,.361,.411,-.050,.240,.276,-.036,2.71,3.17,-0.46
Chen, Wei-Yin,612672,2019,307,221,.311,.288,.023,.557,.511,.046,.378,.360,.018,6.59,5.69,0.90
Hudson, Daniel,543339,2019,304,202,.210,.229,-.019,.363,.435,-.072,.277,.314,-.037,2.47,4.18,-1.71
Brebbia, John,605154,2019,304,187,.216,.210,.006,.333,.354,-.021,.271,.279,-.008,3.59,3.25,0.34
Liriano, Francisco,434538,2019,302,200,.232,.224,.008,.382,.375,.007,.309,.310,-.001,3.47,4.06,-0.59
Eovaldi, Nathan,543135,2019,302,194,.276,.245,.031,.510,.439,.071,.367,.341,.026,5.99,5.02,0.97
Leclerc, Jose,600917,2019,299,154,.209,.175,.034,.373,.292,.081,.306,.271,.035,4.33,3.06,1.27
Devenski, Chris,606965,2019,298,202,.256,.231,.025,.470,.413,.057,.327,.304,.023,4.83,3.89,0.94
Cortes, Nestor,641482,2019,298,200,.281,.268,.013,.494,.473,.021,.353,.345,.008,5.67,5.16,0.51
Perdomo, Luis,606131,2019,296,221,.252,.267,-.015,.372,.420,-.048,.289,.317,-.028,4.00,4.27,-0.27
Green, Chad,643338,2019,296,172,.247,.232,.015,.427,.426,.001,.312,.313,-.001,4.17,4.15,0.02
Suero, Wander,593833,2019,296,186,.242,.258,-.016,.352,.410,-.058,.286,.318,-.032,4.54,4.29,0.25
Ross, Joe,605452,2019,295,201,.291,.270,.021,.449,.464,-.015,.355,.357,-.002,5.48,5.58,-0.10
Newcomb, Sean,656794,2019,293,196,.236,.243,-.007,.375,.387,-.012,.299,.312,-.013,3.16,4.12,-0.96
Castillo, Diego,650895,2019,290,178,.230,.201,.029,.374,.330,.044,.292,.271,.021,3.41,3.06,0.35
Hader, Josh,623352,2019,289,127,.155,.158,-.003,.366,.325,.041,.247,.236,.011,2.62,2.32,0.30
Hughes, Jared,453172,2019,289,206,.224,.245,-.021,.424,.406,.018,.306,.319,-.013,4.04,4.32,-0.28
Farmer, Buck,571656,2019,288,186,.247,.238,.009,.422,.426,-.004,.312,.314,-.002,3.72,4.18,-0.46
Guerra, Javy,457915,2019,287,212,.251,.254,-.003,.427,.457,-.030,.301,.317,-.016,4.66,4.27,0.39
Bettis, Chad,518452,2019,287,219,.301,.272,.029,.498,.425,.073,.361,.329,.032,6.08,4.63,1.45
Workman, Brandon,519443,2019,286,135,.123,.178,-.055,.166,.240,-.074,.208,.260,-.052,1.88,2.81,-0.93
Law, Derek,571882,2019,285,175,.256,.246,.010,.437,.393,.044,.342,.331,.011,4.90,4.69,0.21
Rodriguez, Richard,593144,2019,285,196,.252,.240,.012,.434,.423,.011,.315,.311,.004,3.72,4.09,-0.37
Barnes, Matt,598264,2019,285,134,.210,.189,.021,.346,.306,.040,.292,.274,.018,3.78,3.13,0.65
Melancon, Mark,453343,2019,284,196,.270,.252,.018,.357,.349,.008,.292,.287,.005,3.61,3.44,0.17
Conley, Adam,543045,2019,283,197,.308,.277,.031,.522,.467,.055,.375,.348,.027,6.53,5.26,1.27
Ottavino, Adam,493603,2019,283,152,.198,.181,.017,.308,.290,.018,.276,.271,.005,1.90,3.06,-1.16
Robles, Hansel,570663,2019,283,192,.221,.216,.005,.332,.353,-.021,.254,.263,-.009,2.48,2.88,-0.40
Diekman, Jake,518617,2019,282,148,.215,.207,.008,.316,.305,.011,.303,.302,.001,4.65,3.84,0.81
Biagini, Joe,607352,2019,281,194,.281,.285,-.004,.514,.510,.004,.358,.364,-.006,4.59,5.84,-1.25
Martin, Brett,656685,2019,280,198,.280,.271,.009,.416,.426,-.010,.315,.327,-.012,4.76,4.57,0.19
Ramirez, Noe,598287,2019,280,176,.232,.215,.017,.398,.370,.028,.297,.287,.010,3.99,3.44,0.55
Gallegos, Giovanny,606149,2019,279,167,.170,.189,-.019,.320,.346,-.026,.231,.254,-.023,2.31,2.68,-0.37
